geoAreaName,latest_value
Mayotte,0.8529
Mexico,0.67509
Micronesia (Federated States of),0.64624
Micronesia (Federated States of),0.64624
Monaco,0.74952
Mongolia,0.95735
Montenegro,0.79979
Montserrat,0.80933
Morocco,0.88405
Mozambique,0.78938
Myanmar,0.79473
Namibia,0.96953
Nauru,0.76504
Nauru,0.76504
Nepal,0.83471
Nepal,0.83471
Netherlands,0.93778
New Caledonia,0.63611
New Caledonia,0.63611
New Zealand,0.61745
Nicaragua,0.81959
Niger,0.93254
Nigeria,0.85228
Niue,0.81092
Niue,0.81092
Norfolk Island,0.69911
North Macedonia,0.96928
Northern Mariana Islands,0.55029
Northern Mariana Islands,0.55029
Norway,0.94741
Oman,0.88364
Pakistan,0.85245
Pakistan,0.85245
Palau,0.68543
Palau,0.68543
Panama,0.7287
Papua New Guinea,0.83153
Papua New Guinea,0.83153
Paraguay,0.95342
Peru,0.7298
Philippines,0.67107
Pitcairn,0.71916
Pitcairn,0.71916
Poland,0.97318
Portugal,0.86369
Puerto Rico,0.67625
